#tweet_id,user_follower_count,user_followee_count,followers_per_followee,user_listed_count,user_status_count,user_bio_exists,word_count,unique_char_count,digits_count,url_count,urls_per_word,hashtag_count,hashtags_per_word,position_of_hashtag,swear_words_count,users_menttioned_count,spam_words_in_bio_count,spam_words_in_tweet_count,expanded_url_length,dot_in_expanded_url,no_of_subdomain,no_of_redirection,age_of_account,class
4.40E+17,374,535,0.699065421,0,2311,1,15,36,2,1,0.066666667,1,0.066666667,68,99,0,59,102,43,2,1,3,348,non-spam
4.40E+17,72,63,1.142857143,0,1129,0,20,24,0,0,0,0,0,-1,94,1,0,94,0,0,0,0,195,non-spam
4.40E+17,1130,1984,0.569556452,20,1369,1,20,42,9,1,0.05,0,0,-1,140,0,151,141,57,2,3,3,1073,non-spam
4.40E+17,1123,965,1.16373057,2,40796,1,19,38,2,1,0.052631579,0,0,-1,123,0,137,125,29,1,2,1,1735,non-spam
4.40E+17,1030,131,7.86259542,1,2586,1,7,25,2,0,0,0,0,-1,46,1,159,46,0,0,0,0,814,non-spam
4.40E+17,797,745,1.069798658,1,29477,1,14,30,4,1,0.071428571,0,0,-1,99,0,81,101,17,1,0,1,1015,non-spam
4.40E+17,25929,3046,8.512475378,101,13192,1,21,35,1,0,0,0,0,-1,133,5,143,134,0,0,0,0,1795,non-spam
4.40E+17,71,70,1.014285714,0,1608,0,12,23,2,0,0,0,0,-1,72,1,0,72,0,0,0,0,800,non-spam
4.40E+17,6172,249,24.78714859,106,48536,1,16,43,0,0,0,2,0.125,13,111,1,22,114,0,0,0,0,600,non-spam
4.40E+17,296,534,0.554307116,0,4865,1,7,15,0,0,0,0,0,-1,29,0,36,29,0,0,0,0,1010,non-spam
4.40E+17,395,691,0.571635311,22,12766,0,6,19,0,0,0,0,0,-1,40,0,0,40,0,0,0,0,1775,non-spam
4.40E+17,6354,502,12.65737052,29,89154,1,5,18,1,0,0,0,0,-1,33,1,14,33,0,0,0,0,668,non-spam
4.40E+17,2940,2774,1.059841384,5,89725,1,6,12,0,0,0,0,0,-1,25,0,75,25,0,0,0,0,988,non-spam
4.40E+17,0,0,0,0,4,0,12,35,1,1,0.083333333,0,0,-1,94,1,0,95,29,2,1,3,0,spam
4.40E+17,246,948,0.259493671,1,1440,1,6,14,0,0,0,1,0.166666667,24,40,0,25,40,0,0,0,0,1100,non-spam
4.40E+17,649,700,0.927142857,0,3537,1,12,20,0,0,0,0,0,-1,56,1,140,57,0,0,0,0,178,non-spam
4.40E+17,93,11,8.454545455,7,21894,1,20,41,5,1,0.05,1,0.05,125,137,0,77,138,51,3,2,3,279,non-spam
4.40E+17,0,0,0,0,25,0,12,16,0,0,0,0,0,-1,56,0,0,56,0,0,0,0,11,non-spam
4.40E+17,13,14,0.928571429,0,135,1,18,23,0,0,0,0,0,-1,85,0,102,85,0,0,0,0,55,spam
4.40E+17,96,369,0.260162602,0,704,1,19,22,0,0,0,0,0,-1,92,0,85,93,0,0,0,0,41,non-spam
4.40E+17,40,194,0.206185567,0,920,1,4,16,0,0,0,0,0,-1,30,1,117,30,0,0,0,0,1030,non-spam
4.40E+17,843,107,7.878504673,1,10787,1,5,28,6,1,0.2,0,0,-1,53,0,58,54,32,2,1,3,220,spam
4.40E+17,4,20,0.2,0,379,0,27,35,1,0,0,0,0,-1,141,2,0,142,0,0,0,0,166,non-spam
4.40E+17,198,217,0.912442396,3,28558,1,16,27,0,0,0,0,0,-1,78,0,31,78,0,0,0,0,2143,non-spam
4.40E+17,23,85,0.270588235,0,169,0,17,30,2,0,0,0,0,-1,96,1,0,96,0,0,0,0,1367,non-spam
4.40E+17,636,608,1.046052632,2,30332,1,7,26,0,0,0,0,0,-1,47,1,10,47,0,0,0,0,1529,non-spam
4.40E+17,632,827,0.764207981,2,1989,0,7,27,1,1,0.142857143,1,0.142857143,47,58,0,0,61,38,2,3,5,1295,non-spam
